id,title,format,category,difficulty,content_json,xp_reward,time_limit_seconds,created_at,branches
22c99457-dd4e-4813-be45-be9d6be47e8d,Odd One Out Advanced 1,odd_one_out,spatial,3,"{""seed"": 3201, ""type"": ""oddOneOut""}",25,90,2026-02-16 11:32:17.524446+00,{iq}
f36a74ce-18ef-4d43-9539-301502547002,Odd One Out Advanced 2,odd_one_out,spatial,3,"{""seed"": 3202, ""type"": ""oddOneOut""}",25,90,2026-02-16 11:32:17.524446+00,{iq}
756d5d2a-6277-4089-933a-f5adc1ba9387,Odd One Out Advanced 3,odd_one_out,spatial,3,"{""seed"": 3203, ""type"": ""oddOneOut""}",25,90,2026-02-16 11:32:17.524446+00,{iq}
f7727f24-6f80-4591-acf8-df91526860c0,Odd One Out Advanced 4,odd_one_out,spatial,3,"{""seed"": 3204, ""type"": ""oddOneOut""}",25,90,2026-02-16 11:32:17.524446+00,{iq}
a42db4ac-9f19-4520-a945-60bca6a36f62,Odd One Out Expert 1,odd_one_out,spatial,4,"{""seed"": 4201, ""type"": ""oddOneOut""}",30,120,2026-02-16 11:32:17.524446+00,{iq}
5cd1731d-61bf-4541-b3e2-ed306386bfeb,Odd One Out Expert 2,odd_one_out,spatial,4,"{""seed"": 4202, ""type"": ""oddOneOut""}",30,120,2026-02-16 11:32:17.524446+00,{iq}
cc1fd92f-1757-4708-9d86-9e246771bf69,Odd One Out Expert 3,odd_one_out,spatial,4,"{""seed"": 4203, ""type"": ""oddOneOut""}",30,120,2026-02-16 11:32:17.524446+00,{iq}
e3fe0961-291b-48a0-8757-bfaa2f406a71,Odd One Out Expert 4,odd_one_out,spatial,4,"{""seed"": 4204, ""type"": ""oddOneOut""}",30,120,2026-02-16 11:32:17.524446+00,{iq}
33b1c098-b3fe-47c5-9a39-8da84f48d4ae,Odd One Out Master 1,odd_one_out,spatial,5,"{""seed"": 5201, ""type"": ""oddOneOut""}",40,150,2026-02-16 11:32:17.524446+00,{iq}
05a89675-f12d-4bc7-8bf1-556877235c2f,Odd One Out Master 2,odd_one_out,spatial,5,"{""seed"": 5202, ""type"": ""oddOneOut""}",40,150,2026-02-16 11:32:17.524446+00,{iq}
6793466b-e608-49db-8205-da2385d0a852,Odd One Out Master 3,odd_one_out,spatial,5,"{""seed"": 5203, ""type"": ""oddOneOut""}",40,150,2026-02-16 11:32:17.524446+00,{iq}
8b2a5536-ed12-4068-89ed-4c8b0c7350d7,Odd One Out Master 4,odd_one_out,spatial,5,"{""seed"": 5204, ""type"": ""oddOneOut""}",40,150,2026-02-16 11:32:17.524446+00,{iq}
8427c13e-b00f-470f-9183-2dca2d7b956c,Rotation Basics 1,spatial_rotation,spatial,1,"{""seed"": 1301, ""type"": ""rotation""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
2314a9ba-5e22-48d6-8f0c-57a7c336167d,Rotation Basics 2,spatial_rotation,spatial,1,"{""seed"": 1302, ""type"": ""rotation""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
7f83a116-fac4-41b3-8cc2-e4a648b427f6,Rotation Basics 3,spatial_rotation,spatial,1,"{""seed"": 1303, ""type"": ""rotation""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
0570ed5c-1841-4cd7-9d23-2609701211e1,Rotation Basics 4,spatial_rotation,spatial,1,"{""seed"": 1304, ""type"": ""rotation""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
fb23804f-e685-4baf-8160-9e1f43953b41,Rotation Intermediate 1,spatial_rotation,spatial,2,"{""seed"": 2301, ""type"": ""rotation""}",20,90,2026-02-16 11:32:17.524446+00,{iq}
b2f9c150-042b-4787-8e0f-6432160d8670,Rotation Intermediate 2,spatial_rotation,spatial,2,"{""seed"": 2302, ""type"": ""rotation""}",20,90,2026-02-16 11:32:17.524446+00,{iq}
701def95-cb5f-48a6-92aa-dee70fa027c4,Rotation Intermediate 3,spatial_rotation,spatial,2,"{""seed"": 2303, ""type"": ""rotation""}",20,90,2026-02-16 11:32:17.524446+00,{iq}
11c27b3e-9f66-4259-abd8-4674f86a4795,Rotation Intermediate 4,spatial_rotation,spatial,2,"{""seed"": 2304, ""type"": ""rotation""}",20,90,2026-02-16 11:32:17.524446+00,{iq}
868667c4-bc13-4a95-9ba8-ac431b7b167d,Rotation Advanced 1,spatial_rotation,spatial,3,"{""seed"": 3301, ""type"": ""rotation""}",25,120,2026-02-16 11:32:17.524446+00,{iq}
872641c4-d7de-4211-bf77-594872c60412,Rotation Advanced 2,spatial_rotation,spatial,3,"{""seed"": 3302, ""type"": ""rotation""}",25,120,2026-02-16 11:32:17.524446+00,{iq}
ad0ae650-1b1f-4f3a-a24f-5ee167ad0038,Rotation Advanced 3,spatial_rotation,spatial,3,"{""seed"": 3303, ""type"": ""rotation""}",25,120,2026-02-16 11:32:17.524446+00,{iq}
8390080f-11b4-49fd-b1d1-e4f5dd258549,Rotation Advanced 4,spatial_rotation,spatial,3,"{""seed"": 3304, ""type"": ""rotation""}",25,120,2026-02-16 11:32:17.524446+00,{iq}
ab2cb1b7-697c-4a9a-91ba-55bfceaeda0a,Rotation Expert 1,spatial_rotation,spatial,4,"{""seed"": 4301, ""type"": ""rotation""}",30,150,2026-02-16 11:32:17.524446+00,{iq}
eabf3415-231b-44a6-bc43-d1cb398cdbb8,Rotation Expert 2,spatial_rotation,spatial,4,"{""seed"": 4302, ""type"": ""rotation""}",30,150,2026-02-16 11:32:17.524446+00,{iq}
b06c4585-1920-48c9-96a3-8390e8f92cca,Rotation Expert 3,spatial_rotation,spatial,4,"{""seed"": 4303, ""type"": ""rotation""}",30,150,2026-02-16 11:32:17.524446+00,{iq}
dae884a5-6081-4a39-ae63-33ef17d3fdf4,Rotation Expert 4,spatial_rotation,spatial,4,"{""seed"": 4304, ""type"": ""rotation""}",30,150,2026-02-16 11:32:17.524446+00,{iq}
1ddefce9-4529-40bf-af7f-091d0d110136,Rotation Master 1,spatial_rotation,spatial,5,"{""seed"": 5301, ""type"": ""rotation""}",40,180,2026-02-16 11:32:17.524446+00,{iq}
98ad57d7-aad5-4731-8fec-c37ac934636f,Rotation Master 2,spatial_rotation,spatial,5,"{""seed"": 5302, ""type"": ""rotation""}",40,180,2026-02-16 11:32:17.524446+00,{iq}
47eafed8-7920-4555-86ff-1a3469d0af4d,Rotation Master 3,spatial_rotation,spatial,5,"{""seed"": 5303, ""type"": ""rotation""}",40,180,2026-02-16 11:32:17.524446+00,{iq}
91c6d0c1-fc6e-448d-9fde-cb07792ffbe3,Rotation Master 4,spatial_rotation,spatial,5,"{""seed"": 5304, ""type"": ""rotation""}",40,180,2026-02-16 11:32:17.524446+00,{iq}
80087989-88d0-4cab-8a21-4b5da10151d4,Path Trace Basics 1,path_trace,spatial,1,"{""seed"": 1401, ""type"": ""pathTrace""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
713d4430-b3df-4904-ac16-091da4a9d0f2,Path Trace Basics 2,path_trace,spatial,1,"{""seed"": 1402, ""type"": ""pathTrace""}",15,60,2026-02-16 11:32:17.524446+00,{iq}
